컨센트레이션,LK_CONCENTRATION,
오라티오,AB_ORATIO,
텐션 릴렉스,LK_TENSIONRELAX,
프라에파티오,AB_PRAEFATIO,
버서크,LK_BERSERK,
에피클레시스,AB_EPICLESIS,
콜루세오힐,AB_CHEAL,
안실라,AB_ANCILLA,
아숨프티오,HP_ASSUMPTIO,
할루시네이션 워크,GC_HALLUCINATIONWALK,
바실리카,HP_BASILICA,"},"
베놈 프렛셔,GC_VENOMPRESSURE,
메디타티오,HP_MEDITATIO,
웨폰 크러쉬,GC_WEAPONCRUSH,
소울 드레인,HW_SOULDRAIN,
포이즈닝 웨폰,GC_POISONINGWEAPON,
매직 크래셔,HW_MAGICCRASHER,
다크 일루젼,GC_DARKILLUSION,
마법력 증폭,HW_MAGICPOWER,
어번던스,RK_ABUNDANCE,
프레셔,PA_PRESSURE,
데몬베인,AL_DEMONBANE,
세크리파이스,PA_SACRIFICE,
스톤하드 스킨,RK_STONEHARDSKIN,
가스펠,PA_GOSPEL,
자이언트 그로쓰,RK_GIANTGROWTH,
맹호경파산 (猛虎硬派山),CH_PALMSTRIKE,
밀레니엄 쉴드,RK_MILLENNIUMSHIELD,
복호권 (伏虎拳),CH_TIGERFIST,
드래곤 트레이닝,RK_DRAGONTRAINING,
연주붕격 (聯柱崩擊),CH_CHAINCRUSH,
데스 바운드,RK_DEATHBOUND,
라이프 치환,PF_HPCONVERSION,
체인지 인스트럭션,HVAN_INSTRUCT,
소울 체인지,PF_SOULCHANGE,
슈탈 호른 : 강철의 뿔,MH_STAHL_HORN,
소울 번,PF_SOULBURN,
매직 미러,NPC_MAGICMIRROR,
어드밴스드 카타르 연구,ASC_KATAR,
블랙 드림 오브 젬스톤,DA_DREAM,
다크 트와이라이트,DA_SPACE,
긴급호출,GD_EMERGENCYCALL,
치명적인 독 부여,ASC_EDP,
데스 나이트메어,DE_NIGHTMARE,
기공포,ASC_BREAKER,
건슬링거의 영혼,SL_GUNNER,
트루 사이트,SN_SIGHT,
테이밍 마스터,MB_MUNAKKNOWLEDGE,
팔콘 어절트,SN_FALCONASSAULT,
염(念),NJ_NEN,
샤프슈팅,SN_SHARPSHOOTING,
다다미 뒤집기,NJ_TATAMIGAESHI,
암운,KO_YAMIKUMO,
오른손 수련,KO_RIGHT,
왼손 수련,KO_LEFT,
십자 베기,KO_JYUMONJIKIRI,
영혼 절단,KO_SETSUDAN,
폭발 쿠나이,KO_BAKURETSU,
팔방 쿠나이,KO_HAPPOKUNAI,
마구 던지기,KO_MUCHANAGE,
풍마수리검 난화,KO_HUUMARANKA,
마키비시,KO_MAKIBISHI,
명경지수,KO_MEIKYOUSISUI,
환술 - 잔상,KO_ZANZOU,
환술 - 경악,KO_KYOUGAKU,
환술 - 주살,KO_JYUSATSU,
화부 : 염천,KO_KAHU_ENTEN,
빙부 : 취설,KO_HYOUHU_HUBUKI,
풍부 : 청람,KO_KAZEHU_SEIRAN,
토부 : 강괴,KO_DOHU_KOUKAI,
술식 해방,KO_KAIHOU,
술식 전개,KO_ZENKAI,
환술 - 환혹,KO_GENWAKU,
열 여섯번째의 밤,KO_IZAYOI,
그림자 밟기,KG_KAGEHUMI,
허무의 그림자,KG_KYOMU,
그림자무사,KG_KAGEMUSYA,
일그러진 초승달,OB_ZANGETSU,
흐린 달빛의 환상,OB_OBOROGENSOU,
불길한 붉은 달빛,OB_AKAITSUKI,
에클라쥬 귀환,ECLAGE_RECALL,
스노우플립,ECL_SNOWFLIP,
페오니마미,ECL_PEONYMAMY,
사다귀,ECL_SADAGUI,
세계수의먼지,ECL_SEQUOIADUST,
수호의 빛,ALL_RAY_OF_PROTECTION,
마인드 블래스터,MER_INVINCIBLEOFF2,
