그라운드 드라이브,NPC_GROUNDDRIVE,
레인 오브 메테오,NPC_RAINOFMETEOR,
돌격 함성의 깃발,GD_CHARGESHOUT_FLAG,
돌격 함성의 울림,GD_CHARGESHOUT_BEATING,
긴급 이동,GD_EMERGENCY_MOVE,
데모닉 매스블리딩,NPC_WIDEBLEEDING2,
데모닉 매스사일런스,NPC_WIDESILENCE2,
데모닉 매스스턴,NPC_WIDESTUN2,
데모닉 매스스톤,NPC_WIDESTONE2,
데모닉 매스슬립,NPC_WIDESLEEP2,
데모닉 매스커스,NPC_WIDECURSE2,
데모닉 매스컨퓨즈,NPC_WIDECONFUSE2,
데모닉 매스프리즈,NPC_WIDEFREEZE2,
데모닉 이블랜드,NPC_EVILLAND2,
데모닉 헬 저지먼트,NPC_HELLJUDGEMENT2,
올스텟 다운,NPC_ALL_STAT_DOWN,
중력 증가,NPC_GRADUAL_GRAVITY,
회복 전환,NPC_DAMAGE_HEAL,
이뮨 엘리멘탈,NPC_IMMUNE_PROPERTY,
위치 변경,NPC_MOVE_COORDINATE,
광역 죽음의 손아귀,NPC_WIDELEASH,
죽음의 손아귀,NPC_LEASH,
디펜더,NPC_DEFENDER,
애로우 스톰,NPC_ARROWSTORM,
할루시네이션 워크,NPC_HALLUCINATIONWALK,
일렉트릭워크,NPC_ELECTRICWALK,
파이어 워크,NPC_FIREWALK,
밀레니엄 쉴드,NPC_MILLENNIUMSHIELD,
이그니션 브레이크,NPC_IGNITIONBREAK,
하울링 오브 만드라고라,NPC_MANDRAGORA,
페이탈 메나스,NPC_FATALMENACE,
주박진,NPC_SR_CURSEDCIRCLE,
프로스트 피어싱,NPC_JACKFROST,
독안개,NPC_VENOMFOG,
석양의 어쌔신 크로스,NPC_ASSASSINCROSS,
플레임 크로스,NPC_FLAMECROSS,
얼음 지뢰,NPC_ICEMINE,
불협화음,NPC_DISSONANCE,
막춤,NPC_UGLYDANCE,
광역 공포,NPC_WIDEHEALTHFEAR,
광역 깊은잠,NPC_WIDE_DEEP_SLEEP,
광역 매혹,NPC_WIDESIREN,
광역 발화,NPC_WIDEBODYBURNNING,
광역 빙결,NPC_WIDEFROSTMISTY,
광역 냉동,NPC_WIDECOLD,
클라우드 킬,NPC_CLOUD_KILL,
레이 오브 제네시스,NPC_RAYOFGENESIS,
사이킥 웨이브,NPC_PSYCHIC_WAVE,
용암 분출,NPC_MAGMA_ERUPTION,
유성우,NPC_COMET,
맥스 페인,NPC_MAXPAIN,
광역 스파이더 웹,NPC_WIDEWEB,
광역 사이트,NPC_WIDESIGHT,
광역 흡혈,NPC_WIDESUCK,
스톰 가스트,NPC_STORMGUST2,
화염 폭풍,NPC_FIRESTORM,
드래곤 브레스,NPC_DRAGONBREATH,
윈드 워크,SN_WINDWALK,
루아흐,AL_RUWACH,
멜트다운,WS_MELTDOWN,
동전제조,WS_CREATECOIN,
마나의 축복,MER_MAGNIFICAT,
괴(塊) 제조,WS_CREATENUGGET,
카트 부스트,WS_CARTBOOST,
자동공격장치 제작,WS_SYSTEMCREATE,
체이스 워크,ST_CHASEWALK,
소드 리젝트,ST_REJECTSWORD,
배낭 털기,ST_STEALBACKPACK,
히터,EL_HEATER,
알케미,CR_ALCHEMY,
포션 시놉시스,CR_SYNTHESISPOTION,
애로우 발칸,CG_ARROWVULCAN,
달빛 물레방앗간에 떨어지는 꽃잎,CG_MOONLIT,
마리오네트 컨트롤,CG_MARIONETTE,
스파이럴 피어스,LK_SPIRALPIERCE,
헤드 크러쉬,LK_HEADCRUSH,
조인트 비트,LK_JOINTBEAT,
흐뉴마,AL_PNEUMA,
네이팜 발칸,HW_NAPALMVULCAN,
광축기(狂蓄氣),CH_SOULCOLLECT,
마인드 브레이커,PF_MINDBREAKER,
메모라이즈,PF_MEMORIZE,
월 오브 포그,PF_FOGWALL,
스파이더 웹,PF_SPIDERWEB,
메테오 어절트,ASC_METEORASSAULT,
치명적인 독 생산,ASC_CDP,
엄마 아빠 사랑해요,WE_BABY,
엄마 아빠 보고싶어요,WE_CALLPARENT,
아가야 이리오렴,WE_CALLBABY,
달리기,TK_RUN,
회오리 준비,TK_READYSTORM,
회오리차기,TK_STORMKICK,
찍기 준비,TK_READYDOWN,
